Company Name,Published Date,Location,Skills Required,Job Description,Apply link
east india securities ltd.,Posted 3 days ago,Kolkata,"Python,Hadoop,Machinelearning","job_description   2  years of experience working with python    Strong analytical skills    Ability to churn scripting solutions with a quick turnaround time    Inclination to... More Details
",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
DREAMAJAX TECHNOLOGIES,Posted 4 days ago,Bengaluru / Bangalore,"Python,Django,Api,Sql,Nosql","PYTHON DEVELOPER B.E  /  B.Tech  /  MCA  /  M.Sc. ,  or equivalent with 4  years of Strong Experience as a Python developerStrong hands on experience on Core Python ,  Django ... More Details
",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
INFINITY GROUP,Posted few days ago,Noida/Greater Noida,"Python,Css,Django,Html,Bootstrap","DescriptionPosition: PYTHON DeveloperNo. of Requirement: 02- One for Fresher  ( Stipend ) - One for ExperienceEducation: B.Tech ,  M.Tech ,  BCA ,  MCA ,  Bsc  ( Computer ) Ex... More Details
",https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-efOg3e9X__SLASH__D9zpSvf__PLUS__uAgZw==&source=srp
InnOvator Web Solutions Pvt.Ltd.,Posted 4 days ago,Mumbai,"Rest,Python,Django,Webdeveloper,Mysql,Api","Job Category: DevelopmentJob Type: Full TimeJob Location: Malad  ( W ) We are looking for a Python Web Developer responsible for managing the interchange of data between the s... More Details
",https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
AxisTechnolabs,Posted 4 days ago,Ahmedabad,"Python,Django,Itskills,Html5,Api,Jquery","Responsibilities : We are looking for Freshers who want to grow thier career with Axis TechnolabsSuffering from finding dream jobsIT skills Requires for JobsWe can help you to... More Details
",https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
Sourcedesk Global Private Limited,Posted 5 days ago,Kolkata,"Html5,Storage,Python,Javascript,Django,Infrastructure","Sourcedesk Global is looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. To be successfu... More Details
",https://www.timesjobs.com/job-detail/python-developer-sourcedesk-global-private-limited-kolkata-3-to-15-yrs-jobid-A27Uf03p2IJzpSvf__PLUS__uAgZw==&source=srp
CONNECTING 2 WORK,Posted 6 days ago,Thiruvananthapuram,"Python,Storage,Django,Testingtools,Debugging","Job Description We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for our clients. In this role ... More Details
",https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-Tebue__SLASH__8iTzVzpSvf__PLUS__uAgZw==&source=srp
Ivan Infotech Pvt. Ltd.,Posted few days ago,Kolkata,"Rest,Python,Security,Debugging","We are looking for a Python Developer to join our development team. Python Developer responsibilities include writing and testing code ,  debugging programs and integrating ap... More Details
",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
pegasus knowledge solutions india pvt ltd.,Posted 4 days ago,Bengaluru / Bangalore,"Python,Css,Django,Java,Html,Bootstrap,Api,Jquery,Sql","Python DeveloperPrimary skill:  Strong Python skills along with web frameworks such as Django / Flask HTML / CSS ,  knowledge in JS based frameworks such as JQuery / React / A... More Details
",https://www.timesjobs.com/job-detail/python-developer-pegasus-knowledge-solutions-india-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-XiCKMhU2A29zpSvf__PLUS__uAgZw==&source=srp
gammastack indore,Posted 4 days ago,Indore,"Python,Database,Django,Restapi,Oops,Machinelearning,Artificialintelligence","Youre Awesome at: Candidates should have experience in any one of python web frameworks like django ,  flask ,  bottle etcCandidates should have experience in rest api framewo... More Details
",https://www.timesjobs.com/job-detail/python-developer-gammastack-indore-indore-0-to-3-yrs-jobid-k5C0GmkyZ8JzpSvf__PLUS__uAgZw==&source=srp
WBC Software Lab,Posted 4 days ago,Chennai,"Python,Git,Restapi,Linux,Mobile,Mongodb,Docker","JOB TITLE : Python Developer Duties and Responsibilities : A minimum of 2-5 years work experience in software development using Python Flask and AngularSolid understanding and... More Details
",https://www.timesjobs.com/job-detail/python-developer-wbc-software-lab-chennai-2-to-5-yrs-jobid-P78tL4SfAddzpSvf__PLUS__uAgZw==&source=srp
NuageBiz.Tech,Posted 4 days ago,Noida/Greater Noida,"Python,Mobile,Teamplayer,Svn,Security,Git,Softwareengineering","This is an opportunity for a dynamic professional with 2-4 years of IT experience including 2 years in Python Language. We want you to be a self-driven go-getter ,  with a str... More Details
",https://www.timesjobs.com/job-detail/python-developer-nuagebiz-tech-noida-greater-noida-2-to-5-yrs-jobid-FzYRc8JWI0hzpSvf__PLUS__uAgZw==&source=srp
AxisTechnolabs,Posted 4 days ago,Ahmedabad,"Python,Css,Userinteraction,Bootstrap,Openerp,Database,Xml,Oops,Html","Responsibilities : We are offering you Paid odoo - python internship for 3 months and after completion ,  you will get a job on your hand , 100 PERCENT  Job Placement ,  We su... More Details
",https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-UqL7KgAUov1zpSvf__PLUS__uAgZw==&source=srp
Techasoft Pvt Ltd,Posted 4 days ago,Bengaluru / Bangalore,"Python,Javascript,Docker,Django,Postgresql,Oops,Mysql,Mongodb,Opencv","- Troubleshoot ,  test and maintain the core product software and databases to ensure strong optimization and functionality- Contribute in all phases of the development lifecy... More Details
",https://www.timesjobs.com/job-detail/python-developer-techasoft-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-Zn8__SLASH__9rCyRjNzpSvf__PLUS__uAgZw==&source=srp
AxisTechnolabs,Posted 4 days ago,Ahmedabad,"Python,Django,Html5,Teamplayer,Angularjs,Javascript","Job Description :Responsibilities : - Having strong knowledge in Python framework  ( Django ,  Flask or Pyramid )  - Having strong knowledge in javaScript / HTML5 / CSS3 - SAS... More Details
",https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-1-to-4-yrs-jobid-jBHxIZqZMQxzpSvf__PLUS__uAgZw==&source=srp
Fluper Limited,Posted 4 days ago,Noida/Greater Noida,"C#,Python,Virtualreality,Mobile,Augmentedreality,Opencv","Job Responsibilities Hands-on exposure to devices such as Microsoft HoloLens ,  HTC Vive ,  Oculus ,  Samsung Gear VR along with mobile based AR / VR solutionsStrong proficien... More Details
",https://www.timesjobs.com/job-detail/python-developer-fluper-limited-noida-greater-noida-2-to-7-yrs-jobid-ETCeznAalQBzpSvf__PLUS__uAgZw==&source=srp
Cybage Software Pvt Ltd,Posted 5 days ago,"Gandhinagar,  Hyderabad/Secunderabad,  Pune","Python,Html5,Javascript,Nosql,Docker,Django,Softwaredeveloper,Mongodb","Experience: 4  YearsThe key aspects of this role include:Design ,  build ,  and maintain scalable applications using Python.Contribute to the entire implementation process inc... More Details
",https://www.timesjobs.com/job-detail/python-developer-cybage-software-pvt-ltd-gandhinagar-hyderabad-secunderabad-pune-4-to-7-yrs-jobid-GN9SDLPIUuJzpSvf__PLUS__uAgZw==&source=srp
Wing Global IT Services,Posted few days ago,Panchkula,"Springboot,Python,Java,Django,Jpa,Hibernate","Qualifications: Graduation completedSkills required:Strong skills in Java coding with Spring Boot  & amp; Hibernate / JPA.Good knowledge of Django framework.server knowledge w... More Details
",https://www.timesjobs.com/job-detail/python-developer-wing-global-it-services-panchkula-2-to-5-yrs-jobid-__PLUS__fePw2G3HHZzpSvf__PLUS__uAgZw==&source=srp
